식품명,식품대분류명,영양성분함량기준량,에너지(kcal)
스파게티_간편조리세트_쉬림프 크림파스타,면 및 만두류,100g,226
스파게티_간편조리세트_알리오올리오파스타,면 및 만두류,100g,313
스파게티_간편조리세트_에그인헬파스타,면 및 만두류,100g,128
스파게티_간편조리세트_오마이갓파스타,면 및 만두류,100g,161
스파게티_간편조리세트_톡톡크림 빠네 파스타,면 및 만두류,100g,233
스테이크_간편조리세트_시그니처찹스테이크,구이류,100g,130
라면_떡,면 및 만두류,100g,102
라면_라면만,면 및 만두류,100g,84
라면_면,면 및 만두류,100g,174
라면_비빔라면,면 및 만두류,100g,189
라면_용기면,면 및 만두류,100g,103
라면_용기면_국물,면 및 만두류,100g,28
라면_용기면_면,면 및 만두류,100g,192
라면_용기면_볶음라면,면 및 만두류,100g,202
라면_짜장라면,면 및 만두류,100g,177
라면_짬뽕라면,면 및 만두류,100g,92
라면_치즈,면 및 만두류,100g,99
만두_고기만두,면 및 만두류,100g,208
만두_김치만두,면 및 만두류,100g,187
만두국,면 및 만두류,100g,62
메밀소바_간편조리세트_부타이 마제소바,면 및 만두류,100g,146
밀면_물밀면,면 및 만두류,100g,71
볶음면_간편조리세트_소고기 야끼소바,면 및 만두류,100g,190
분짜,면 및 만두류,100g,136
스테이크_간편조리세트_시그니처 스테이크 부채살,구이류,100g,140
약과,빵 및 과자류,100g,399
유과,빵 및 과자류,100g,424
간자장,면 및 만두류,100g,127
국수_김치말이국수,면 및 만두류,100g,50
국수_막국수,면 및 만두류,100g,57
국수_열무김치,면 및 만두류,100g,54
기스면,면 및 만두류,100g,61
냉면_물냉면,면 및 만두류,100g,66
냉면_비빔냉면,면 및 만두류,100g,131
냉면_열무냉면,면 및 만두류,100g,66
떡만두국,면 및 만두류,100g,89
라멘_간편조리세트_매운돈코츠라멘,면 및 만두류,100g,91
라멘_돈코츠라멘,면 및 만두류,100g,98
라멘_미소라멘,면 및 만두류,100g,89
라멘_소유라멘,면 및 만두류,100g,72
라멘_시오라멘,면 및 만두류,100g,84
라면_간편조리세트_?c양꿍요괴라면,면 및 만두류,100g,88
라면_국물,면 및 만두류,100g,19
라면_김치,면 및 만두류,100g,85
케이크_치즈케이크,빵 및 과자류,100g,329
크로켓(고로케)_채소,빵 및 과자류,100g,301
파이/만주_만주,빵 및 과자류,100g,318
페이스트리,빵 및 과자류,100g,457
프레즐,빵 및 과자류,100g,312
피자_불고기피자,빵 및 과자류,100g,253
피자_치즈피자,빵 및 과자류,100g,277
피자_페퍼로니피자,빵 및 과자류,100g,266
피자_포테이토피자,빵 및 과자류,100g,251
핫도그,빵 및 과자류,100g,341
핫도그_감자,빵 및 과자류,100g,324
핫도그_모짜렐라,빵 및 과자류,100g,318
햄버거,빵 및 과자류,100g,225
햄버거_소고기패티,빵 및 과자류,100g,271
햄버거_소고기패티_토마토_양상추,빵 및 과자류,100g,229
햄버거_치즈,빵 및 과자류,100g,284
매작과,빵 및 과자류,100g,413
산자,빵 및 과자류,100g,366
스테이크_간편조리세트_비프찹스테이크,구이류,100g,147
찹쌀떡_팥,빵 및 과자류,100g,266
다식_송화,빵 및 과자류,100g,369
다쿠아즈,빵 및 과자류,100g,447
도넛_찹쌀,빵 및 과자류,100g,296
마카롱,빵 및 과자류,100g,480
버터크림빵,빵 및 과자류,100g,383
샌드위치_닭고기,빵 및 과자류,100g,250
샌드위치_생선,빵 및 과자류,100g,257
샌드위치_소고기,빵 및 과자류,100g,244
샌드위치_소시지,빵 및 과자류,100g,276
샌드위치_참치,빵 및 과자류,100g,222
샌드위치_햄_치즈,빵 및 과자류,100g,284
샌드위치_햄_치즈_채소,빵 및 과자류,100g,214
소보로빵,빵 및 과자류,100g,396
소보로빵_맘모스빵,빵 및 과자류,100g,354
식빵_통밀식빵,빵 및 과자류,100g,279
앙금빵_앙버터빵,빵 및 과자류,100g,372
케이크_초콜릿케이크,빵 및 과자류,100g,420
스테이크_간편조리세트_블랙라벨 스테이크 부채살,구이류,100g,155
백설기_검정콩,빵 및 과자류,100g,229
빙떡(메밀전병),빵 및 과자류,100g,168
송편_검정콩,빵 및 과자류,100g,200
송편_깨,빵 및 과자류,100g,224
송편_콩,빵 및 과자류,100g,194
송편_팥,빵 및 과자류,100g,200
수수경단,빵 및 과자류,100g,218
수수부꾸미,빵 및 과자류,100g,248
수수팥떡,빵 및 과자류,100g,204
시루떡,빵 및 과자류,100g,217
시루떡_녹두,빵 및 과자류,100g,246
쑥떡,빵 및 과자류,100g,249
약식,빵 및 과자류,100g,220
인절미_콩고물,빵 및 과자류,100g,231
인절미_팥고물,빵 및 과자류,100g,204
절편,빵 및 과자류,100g,197
찰시루떡,빵 및 과자류,100g,181
찹쌀떡,빵 및 과자류,100g,277
찹쌀떡,빵 및 과자류,100g,241
초밥_장어,밥류,100g,195
초밥_한치,밥류,100g,150
충무김밥,밥류,100g,146
캘리포니아롤,밥류,100g,163
콩밥_강낭콩,밥류,100g,173
회덮밥,밥류,100g,137
가래떡,빵 및 과자류,100g,210
가래떡_흑미,빵 및 과자류,100g,205
개피떡(바람떡),빵 및 과자류,100g,206
경단_깨,빵 및 과자류,100g,319
경단_찹쌀_카스텔라,빵 및 과자류,100g,237
경단_콩,빵 및 과자류,100g,314
기피편,빵 및 과자류,100g,220
모듬찰떡,빵 및 과자류,100g,233
모싯잎송편_동부,빵 및 과자류,100g,190
모싯잎송편_동부(국내산),빵 및 과자류,100g,190
모싯잎송편_동부(수입산),빵 및 과자류,100g,190
무지개떡,빵 및 과자류,100g,229
백설기,빵 및 과자류,100g,224
삼각김밥_숯불갈비,밥류,100g,161
삼각김밥_참치마요네즈,밥류,100g,172
새우튀김롤,밥류,100g,202
쌀밥,밥류,100g,166
알밥_간편조리세트_갑오징어알뚝밥,밥류,100g,124
연어롤,밥류,100g,170
연잎밥,밥류,100g,207
오곡밥,밥류,100g,156
자장밥,밥류,100g,148
잡탕밥,밥류,100g,104
주먹밥_멸치,밥류,100g,208
짜장밥_오징어,밥류,100g,136
초밥_광어,밥류,100g,151
초밥_농어,밥류,100g,159
초밥_모듬,밥류,100g,154
초밥_문어,밥류,100g,157
초밥_새우,밥류,100g,130
초밥_연어,밥류,100g,207
초밥_유부초밥,밥류,100g,165
덮밥_송이버섯,밥류,100g,97
덮밥_유산슬,밥류,100g,105
덮밥_장어,밥류,100g,179
덮밥_참치,밥류,100g,136
덮밥_해물,밥류,100g,110
리소토/리조또_간편조리세트_베이컨버섯크림리조또,밥류,100g,187
리소토/리조또_간편조리세트_쉬림프로제리조또,밥류,100g,176
묵밥,밥류,100g,68
볶음밥_간편조리세트_돼지불백깍둑볶음누룽밥,밥류,100g,186
볶음밥,밥류,100g,193
볶음밥_김치,밥류,100g,167
볶음밥_삼선,밥류,100g,172
볶음밥_새우,밥류,100g,175
볶음밥_해물,밥류,100g,176
비빔밥_간편조리세트_꼬막비빔밥,밥류,100g,103
비빔밥,밥류,100g,142
비빔밥_멍게,밥류,100g,137
비빔밥_약초,밥류,100g,128
삼각김밥_고추장불고기,밥류,100g,165
홍차_얼그레이 핫(HOT),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT),음료 및 차류,100ml,1
홍차_얼그레이 핫(HOT) (L),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT) (M),음료 및 차류,100ml,0
홍차_얼그레이티 아이스(ICED),음료 및 차류,100ml,1
홍차_얼그레이티 핫(HOT),음료 및 차류,100ml,1
과일_하루 한 컵 RED,과일류,100g,43
견과_넛츠앤푸르츠,"두류, 견과 및 종실류",100g,550
계란 덮밥,밥류,100g,143
곤드레나물밥,밥류,100g,149
국밥,밥류,100g,52
국밥_굴,밥류,100g,105
국밥_돼지고기,밥류,100g,76
국밥_소고기,밥류,100g,47
귀리밥,밥류,100g,162
김밥_샐러드,밥류,100g,162
김밥_소고기,밥류,100g,160
김밥_참치,밥류,100g,170
누룽지_뜨거운물첨가,밥류,100g,69
홍차_잉글리쉬 브렉퍼스트티 아이스(ICED) (Tall),음료 및 차류,100ml,0
홍차_잉글리쉬 브렉퍼스트티 핫(HOT) (Tall),음료 및 차류,100ml,0
홍차_잉글리쉬 브렉퍼스트,음료 및 차류,100ml,1
홍차_잉글리쉬브렉퍼스트 아이스(ICED) (L),음료 및 차류,100ml,0
홍차_잉글리쉬브렉퍼스트 핫(HOT) (L),음료 및 차류,100ml,0
홍차_크림카라멜 아이스(ICED) (L),음료 및 차류,100ml,1
홍차_퍼스트 브레이크 아이스(ICED) (L),음료 및 차류,100ml,1
홍차_퍼스트 브레이크 핫(HOT) (L),음료 및 차류,100ml,1
홍차_홍차 아이스(ICED),음료 및 차류,100ml,0
홍차_홍차 핫(HOT),음료 및 차류,100ml,1
홍차_블랙티 아이스(ICED),음료 및 차류,100ml,4
홍차_블랙티 핫(HOT),음료 및 차류,100ml,6
홍차_얼그레이,음료 및 차류,100ml,1
홍차_얼그레이,음료 및 차류,100ml,1
홍차_얼그레이 아이스(ICED),음료 및 차류,100ml,0
홍차_얼그레이 아이스(ICED),음료 및 차류,100ml,0
홍차_얼그레이 아이스(ICED),음료 및 차류,100ml,1
홍차_얼그레이 아이스(ICED) (L),음료 및 차류,100ml,0
홍차_얼그레이 아이스(ICED) (M),음료 및 차류,100ml,0
홍차_얼그레이 클래식,음료 및 차류,100ml,2
홍차_얼그레이티 아이스(ICED) (L),음료 및 차류,100ml,0
홍차_얼그레이티 핫(HOT) (L),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT) (L),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT),음료 및 차류,100ml,0
홍차_얼그레이 핫(HOT),음료 및 차류,100ml,1
홍차_얼그레이,음료 및 차류,100ml,1
홍차_얼그레이티 아이스(ICED) (J),음료 및 차류,100ml,2
홍차_얼그레이티 아이스(ICED) (L),음료 및 차류,100ml,2
홍차_얼그레이티 핫(HOT) (J),음료 및 차류,100ml,1
홍차_얼그레이티 핫(HOT) (L),음료 및 차류,100ml,1
홍차_영그레이 아이스(ICED) (L),음료 및 차류,100ml,1
홍차_영그레이 핫(HOT) (L),음료 및 차류,100ml,1
홍차_유스베리티 아이스(ICED) (Tall),음료 및 차류,100ml,0
홍차_유스베리티 핫(HOT) (Tall),음료 및 차류,100ml,0
홍차_잉글리쉬 브랙퍼스트 아이스(ICED),음료 및 차류,100ml,0
홍차_잉글리쉬 브랙퍼스트 핫(HOT),음료 및 차류,100ml,0
홍차_블랙티 아이스(ICED) (J),음료 및 차류,100ml,2
홍차_블랙티 아이스(ICED) (L),음료 및 차류,100ml,2
홍차_블랙티 아이스(ICED) (L),음료 및 차류,100ml,0
홍차_블랙티 핫(HOT) (J),음료 및 차류,100ml,2
홍차_블랙티 핫(HOT) (L),음료 및 차류,100ml,2
홍차_블랙티 핫(HOT) (L),음료 및 차류,100ml,0
홍차_아쌈티 아이스(ICED) (L),음료 및 차류,100ml,1
홍차_아쌈티 핫(HOT) (L),음료 및 차류,100ml,1
홍차_아쌈오렌지,음료 및 차류,100ml,2
홍차_아쌈티 아이스(ICED),음료 및 차류,100ml,0
홍차_아쌈티 핫(HOT),음료 및 차류,100ml,0
홍차_얼 그레이티 아이스(ICED) (Tall),음료 및 차류,100ml,0
홍차_얼 그레이티 핫(HOT) (Tall),음료 및 차류,100ml,0
홍차_얼그레이 리저브 아이스(ICED),음료 및 차류,100ml,2
홍차_얼그레이 리저브 핫(HOT),음료 및 차류,100ml,3
홍차_얼그레이 아이스(ICED) (L),음료 및 차류,100ml,2
홍차_얼그레이 아이스(ICED),음료 및 차류,100ml,0
홍차_얼그레이 아이스(ICED),음료 및 차류,100ml,0
홍차_얼그레이 아이스(ICED),음료 및 차류,100ml,1
허브차_페퍼민트,음료 및 차류,100ml,1
허브차_페퍼민트 아이스(ICED),음료 및 차류,100ml,0
허브차_페퍼민트 아이스(ICED),음료 및 차류,100ml,0
허브차_페퍼민트 아이스(ICED) (L),음료 및 차류,100ml,0
허브차_페퍼민트 아이스(ICED) (M),음료 및 차류,100ml,0
허브차_페퍼민트 아이스(ICED) (R),음료 및 차류,100ml,3
허브차_페퍼민트 핫(HOT),음료 및 차류,100ml,0
허브차_페퍼민트 핫(HOT) (L),음료 및 차류,100ml,0
허브차_페퍼민트 핫(HOT) (M),음료 및 차류,100ml,0
허브차_페퍼민트 핫(HOT) (R),음료 및 차류,100ml,2
허브차_페퍼민트티 아이스(ICED),음료 및 차류,100ml,1
허브차_페퍼민트티 핫(HOT),음료 및 차류,100ml,2
허브차_허브티 아이스(ICED),음료 및 차류,100ml,0
허브차_허브티 핫(HOT),음료 및 차류,100ml,0
허브차_히비스커스 아이스(ICED) (R),음료 및 차류,100ml,2
허브차_히비스커스 핫(HOT) (R),음료 및 차류,100ml,3
홍차_머스캣 블렌드티 아이스(ICED) (L),음료 및 차류,100ml,0
홍차_머스캣 블렌드티 핫(HOT) (L),음료 및 차류,100ml,0
홍차_머스캣,음료 및 차류,100ml,2
허브차_카모마일 핫(HOT) (L),음료 및 차류,100ml,0
허브차_카모마일 핫(HOT) (M),음료 및 차류,100ml,0
허브차_캐모마일,음료 및 차류,100ml,2
허브차_캐모마일,음료 및 차류,100ml,1
허브차_캐모마일 아이스(ICED),음료 및 차류,100ml,0
허브차_캐모마일 아이스(ICED),음료 및 차류,100ml,0
허브차_캐모마일 아이스(ICED) (R),음료 및 차류,100ml,3
허브차_캐모마일 핫(HOT),음료 및 차류,100ml,0
허브차_캐모마일 핫(HOT),음료 및 차류,100ml,0
허브차_캐모마일 핫(HOT),음료 및 차류,100ml,0
허브차_캐모마일 핫(HOT) (R),음료 및 차류,100ml,2
허브차_캐모마일티 아이스(ICED),음료 및 차류,100ml,1
허브차_캐모마일티 아이스(ICED),음료 및 차류,100ml,0
허브차_캐모마일티 핫(HOT),음료 및 차류,100ml,1
허브차_쿨 허벌티 아이스(ICED),음료 및 차류,100ml,0
허브차_쿨 허벌티 핫(HOT),음료 및 차류,100ml,0
허브차_크림얼그레이티 아이스(ICED),음료 및 차류,100ml,1
허브차_크림얼그레이티 핫(HOT),음료 및 차류,100ml,1
허브차_페퍼민트,음료 및 차류,100ml,1
허브차_페퍼민트티 아이스(ICED),음료 및 차류,100ml,0
허브차_페퍼민트티 핫(HOT),음료 및 차류,100ml,0
허브차_퓨어페퍼민트 아이스(ICED),음료 및 차류,100ml,1
허브차_퓨어페퍼민트 핫(HOT),음료 및 차류,100ml,1
허브차_허브티 아이스(ICED),음료 및 차류,100ml,0
허브차_허브티 핫(HOT),음료 및 차류,100ml,1
허브차_히비스커스 블렌드티 아이스(ICED) (L),음료 및 차류,100ml,1
허브차_히비스커스 블렌드티 아이스(ICED) (Tall),음료 및 차류,100ml,0
허브차_히비스커스 블렌드티 핫(HOT) (L),음료 및 차류,100ml,1
허브차_히비스커스 블렌드티 핫(HOT) (Tall),음료 및 차류,100ml,0
허브차_레몬밤,음료 및 차류,100ml,1
허브차_레몬밤 민트티 아이스(ICED),음료 및 차류,100ml,35
허브차_레몬밤 민트티 핫(HOT),음료 및 차류,100ml,44
허브차_루이보스 아이스(ICED),음료 및 차류,100ml,0
허브차_루이보스 아이스(ICED),음료 및 차류,100ml,2
허브차_루이보스 핫(HOT),음료 및 차류,100ml,0
허브차_루이보스 핫(HOT),음료 및 차류,100ml,2
허브차_카모마일 아이스(ICED) (L),음료 및 차류,100ml,0
허브차_카모마일 아이스(ICED) (M),음료 및 차류,100ml,0
허브차_쿨민트 아이스(ICED),음료 및 차류,100ml,2
허브차_쿨민트 핫(HOT),음료 및 차류,100ml,3
허브차_크림슨 펀치 아이스(ICED),음료 및 차류,100ml,3
허브차_크림슨 펀치 핫(HOT),음료 및 차류,100ml,3
허브차_페어진저 아이스(ICED),음료 및 차류,100ml,0
